"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","1","0","0","0"
"EP003","feature3: Test3","story3","0","0","0","1","0"
"EP002","feature2: Test2","story2","0","0","0","1","0"
"EP001","feature1: Test1","story1","0","0","0","1","0"
"EP004","feature4: Test4","story4","0","0","0","1","0"
