"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jan 11 02:22:27 GMT+01:00 2021","Mon Jan 11 02:22:27 GMT+01:00 2021","3","Suite","Test","test.Test1","test.Test1","setUp","setUp",""
"skipped","Mon Jan 11 02:22:27 GMT+01:00 2021","Mon Jan 11 02:22:27 GMT+01:00 2021","4","Suite","Test","test.Test1","test.Test1","test3","test3","test 3"
"skipped","Mon Jan 11 02:22:27 GMT+01:00 2021","Mon Jan 11 02:22:27 GMT+01:00 2021","4","Suite","Test","test.Test1","test.Test1","test2","test2","test 2"
"skipped","Mon Jan 11 02:22:27 GMT+01:00 2021","Mon Jan 11 02:22:27 GMT+01:00 2021","7","Suite","Test","test.Test1","test.Test1","test1","test1","test 1"
"skipped","Mon Jan 11 02:22:27 GMT+01:00 2021","Mon Jan 11 02:22:27 GMT+01:00 2021","3","Suite","Test","test.Test1","test.Test1","test4","test4","test 4"
